TEMPO,TIPO,ANO
1.63,IMPRESSORA,2009
9.63,SISTEMA,2009
1.63,MOUSE,2009
9.43,SISTEMA,2009
10.43,IMPRESSORA,2009
9.43,ERRO,2009
1.29,SISTEMA,2009
1.6,SISTEMA,2009
19.58,LASER,2009
29.49,SISTEMA,2009
29.49,COMPUTADOR,2009
17.61,IMPRESSORA,2009
68.36,SIHOSP,2009
68.36,SIHOSP,2009
5.32,SIHOSP,2009
12.51,SIHOSP,2009
4.51,SISTEMA,2009
3.3,SIHOSP,2009
2.65,ERRO,2009
21.49,MOUSE,2009
5.26,ERRO,2009
5.26,ERRO,2009
1.66,NAO LIGA,2009
2.66,IMPRESSORA,2009
19.51,SISTEMA,2009
4.36,ERRO,2009
39.3,IMPRESSORA,2009
39.29,IMPRESSORA,2009
1.29,SISTEMA,2009
3.66,SISTEMA,2009
3.66,SISTEMA,2009
4.66,SISTEMA,2009
3.65,SISTEMA,2009
61.65,SISTEMA,2009
61.65,SISTEMA,2009
61.65,SISTEMA,2009
61.66,SISTEMA,2009
3.66,SISTEMA,2009
3.66,SISTEMA,2009
3.66,SISTEMA,2009
61.66,SISTEMA,2009
3.66,SISTEMA,2009
3.66,SISTEMA,2009
13.36,SISTEMA,2009
38.32,IMPRESSORA,2009
12.47,SISTEMA,2009
20.47,ERRO,2009
1.45,SISTEMA,2009
20.25,COMPUTADOR,2009
3.67,SISTEMA,2009
3.67,SISTEMA,2009
3.67,SISTEMA,2009
4.67,SISTEMA,2009
3.67,SISTEMA,2009
3.66,SISTEMA,2009
59.58,SISTEMA,2009
1.51,IMPRESSORA,2009
17.3,COMPUTADOR,2009
31.26,IMPRESSORA,2009
17.26,COMPUTADOR,2009
3.25,SISTEMA,2009
5.35,ERRO,2009
2.46,ERRO,2009
3.46,IMPRESSORA,2009
2.31,SIHOSP,2009
21.33,COMPUTADOR,2009
1.34,ERRO,2009
3.31,ERRO,2009
20.57,SIHOSP,2009
20.57,SISTEMA,2009
13.5,SISTEMA,2009
6.51,SISTEMA,2009
6.51,SISTEMA,2009
30.47,IMPRESSORA,2009
3.25,SISTEMA,2009
3.25,SISTEMA,2009
6.51,SISTEMA,2009
6.51,MOUSE,2009
6.51,SISTEMA,2009
6.51,SISTEMA,2009
6.51,SISTEMA,2009
6.5,SISTEMA,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
3.25,SISTEMA,2009
3.25,SISTEMA,2009
1.48,SIHOSP,2009
11.67,SISTEMA,2009
33.58,NAO LIGA,2009
33.55,NAO LIGA,2009
33.55,NAO LIGA,2009
46.57,SIHOSP,2009
35.34,SIHOSP,2009
35.34,SIHOSP,2009
33.51,NAO LIGA,2009
34.66,LASER,2009
8.55,ERRO,2009
34.53,SISTEMA,2009
3.54,SISTEMA,2009
4.54,NAO LIGA,2009
4.38,SIHOSP,2009
22.29,SIHOSP,2009
35.29,NAO LIGA,2009
35.29,IMPRESSORA,2009
35.29,IMPRESSORA,2009
35.29,SISTEMA,2009
2.57,IMPRESSORA,2009
2.55,SIHOSP,2009
2.55,SISTEMA,2009
3.55,IMPRESSORA,2009
33.3,NAO LIGA,2009
2.51,IMPRESSORA,2009
2.51,NAO LIGA,2009
2.48,IMPRESSORA,2009
2.65,SISTEMA,2009
2.36,NAO LIGA,2009
8.63,SISTEMA,2009
7.48,SISTEMA,2009
17.48,MOUSE,2009
1.63,NAO LIGA,2009
3.62,IMPRESSORA,2009
2.62,TECLADO,2009
2.61,ERRO,2009
1.6,NAO LIGA,2009
5.6,SISTEMA,2009
3.59,ERRO,2009
3.59,SIHOSP,2009
2.59,SIHOSP,2009
2.59,SIHOSP,2009
2.59,SIHOSP,2009
3.58,IMPRESSORA,2009
21.48,SISTEMA,2009
41.39,LASER,2009
3.47,MOUSE,2009
1.46,TECLADO,2009
3.46,SISTEMA,2009
3.45,NAO LIGA,2009
3.45,SISTEMA,2009
3.45,NAO LIGA,2009
3.45,SISTEMA,2009
3.45,TECLADO,2009
1.19,SIHOSP,2009
1.19,SIHOSP,2009
1.19,SISTEMA,2009
64.27,SISTEMA,2009
3.53,IMPRESSORA,2009
5.52,SIHOSP,2009
3.52,NAO LIGA,2009
3.51,IMPRESSORA,2009
2.51,TECLADO,2009
3.51,SIHOSP,2009
1.22,IMPRESSORA,2009
24.49,SISTEMA,2009
3.53,NAO LIGA,2009
3.49,SIHOSP,2009
3.48,SIHOSP,2009
3.48,MOUSE,2009
3.47,ERRO,2009
1.21,SISTEMA,2009
1.21,SIHOSP,2009
1.2,SISTEMA,2009
2.64,IMPRESSORA,2009
20.62,SIHOSP,2009
6.28,SISTEMA,2009
2.61,IMPRESSORA,2009
2.6,IMPRESSORA,2009
2.6,IMPRESSORA,2009
2.6,NAO LIGA,2009
1.19,SISTEMA,2009
1.18,SISTEMA,2009
1.18,SISTEMA,2009
44.45,ERRO,2009
41.31,LASER,2009
22.31,SISTEMA,2009
3.44,SIHOSP,2009
3.43,TECLADO,2009
3.43,IMPRESSORA,2009
3.43,NAO LIGA,2009
3.42,IMPRESSORA,2009
3.42,SIHOSP,2009
1.18,SISTEMA,2009
1.18,SIHOSP,2009
2.34,IMPRESSORA,2009
36.34,SIHOSP,2009
35.34,SIHOSP,2009
9.67,SIHOSP,2009
9.67,SIHOSP,2009
7.43,SIHOSP,2009
44.44,ERRO,2009
49.6,SISTEMA,2009
49.6,IMPRESSORA,2009
5.33,SISTEMA,2009
20.28,IMPRESSORA,2009
20.6,SISTEMA,2009
20.6,SIHOSP,2009
11.25,COMPUTADOR,2009
6.24,SIHOSP,2009
23.59,SIHOSP,2009
23.59,SIHOSP,2009
36.59,TECLADO,2009
3.66,SIHOSP,2009
2.65,IMPRESSORA,2009
2.59,MOUSE,2009
2.58,IMPRESSORA,2009
2.58,NAO LIGA,2009
1.58,TECLADO,2009
3.64,NAO LIGA,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
1.64,ERRO,2009
1.63,SIHOSP,2009
2.63,IMPRESSORA,2009
2.63,IMPRESSORA,2009
1.63,IMPRESSORA,2009
1.63,NAO LIGA,2009
3.62,SIHOSP,2009
1.62,ERRO,2009
1.62,SIHOSP,2009
1.59,SIHOSP,2009
1.59,SIHOSP,2009
1.59,SISTEMA,2009
1.58,SISTEMA,2009
1.6,SIHOSP,2009
53.6,SISTEMA,2009
2.61,MOUSE,2009
1.61,NAO LIGA,2009
2.61,NAO LIGA,2009
1.6,SIHOSP,2009
3.6,SIHOSP,2009
3.6,SIHOSP,2009
2.6,TECLADO,2009
3.38,SISTEMA,2009
6.63,SIHOSP,2009
4.61,SISTEMA,2009
4.6,IMPRESSORA,2009
2.6,IMPRESSORA,2009
2.52,SISTEMA,2009
2.63,IMPRESSORA,2009
2.63,IMPRESSORA,2009
2.57,SIHOSP,2009
9.56,SISTEMA,2009
2.56,IMPRESSORA,2009
2.55,SIHOSP,2009
5.3,SISTEMA,2009
2.48,SISTEMA,2009
2.63,TECLADO,2009
2.62,TECLADO,2009
3.61,ERRO,2009
4.54,SISTEMA,2009
2.52,SISTEMA,2009
2.52,SIHOSP,2009
2.52,IMPRESSORA,2009
2.33,SISTEMA,2009
4.33,ERRO,2009
4.33,SISTEMA,2009
54.32,ERRO,2009
2.62,IMPRESSORA,2009
9.62,IMPRESSORA,2009
9.62,SIHOSP,2009
9.62,MOUSE,2009
1.61,SIHOSP,2009
1.61,SISTEMA,2009
1.51,SISTEMA,2009
1.5,SIHOSP,2009
2.6,NAO LIGA,2009
3.6,SISTEMA,2009
9.6,IMPRESSORA,2009
9.6,IMPRESSORA,2009
9.6,IMPRESSORA,2009
1.6,SISTEMA,2009
9.59,SISTEMA,2009
9.59,SIHOSP,2009
2.54,IMPRESSORA,2009
2.54,IMPRESSORA,2009
2.54,SISTEMA,2009
1.49,SISTEMA,2009
1.49,IMPRESSORA,2009
9.58,SIHOSP,2009
3.58,SISTEMA,2009
2.53,SIHOSP,2009
1.53,SISTEMA,2009
3.53,ERRO,2009
10.52,SISTEMA,2009
61.66,SISTEMA,2009
10.52,TECLADO,2009
2.51,MOUSE,2009
1.51,SISTEMA,2009
2.51,NAO LIGA,2009
2.5,IMPRESSORA,2009
2.46,SIHOSP,2009
3.45,NAO LIGA,2009
3.45,NAO LIGA,2009
1.33,IMPRESSORA,2009
6.33,SISTEMA,2009
6.32,SISTEMA,2009
6.32,SISTEMA,2009
6.32,SISTEMA,2009
7.32,SISTEMA,2009
1.47,ERRO,2009
2.47,IMPRESSORA,2009
10.5,SISTEMA,2009
10.49,SISTEMA,2009
10.49,SISTEMA,2009
1.49,SISTEMA,2009
6.53,SISTEMA,2009
1.46,NAO LIGA,2009
3.46,MOUSE,2009
3.51,IMPRESSORA,2009
3.49,SIHOSP,2009
3.49,IMPRESSORA,2009
2.49,SISTEMA,2009
22.59,LASER,2010
23.59,SIHOSP,2010
26.58,TECLADO,2010
47.58,SIHOSP,2010
6.51,SIHOSP,2010
6.4,SIHOSP,2010
5.4,SIHOSP,2010
22.42,ERRO,2010
7.32,SISTEMA,2009
11.61,SISTEMA,2009
2.44,SISTEMA,2009
2.44,SISTEMA,2009
3.44,IMPRESSORA,2009
1.33,SIHOSP,2009
57.32,SISTEMA,2009
7.31,SISTEMA,2009
3.42,IMPRESSORA,2009
3.42,IMPRESSORA,2009
3.42,IMPRESSORA,2009
3.42,SIHOSP,2009
27.3,SISTEMA,2010
47.3,SIHOSP,2010
1.3,SIHOSP,2010
33.34,ERRO,2010
5.34,SISTEMA,2010
7.32,SIHOSP,2010
23.58,SISTEMA,2010
23.58,SIHOSP,2010
23.58,SIHOSP,2010
23.57,ERRO,2010
23.57,SISTEMA,2010
26.56,IMPRESSORA,2010
22.56,IMPRESSORA,2010
22.56,IMPRESSORA,2010
10.62,IMPRESSORA,2010
4.4,ERRO,2010
6.31,SISTEMA,2010
1.58,SISTEMA,2009
4.39,ERRO,2010
14.31,IMPRESSORA,2010
26.49,TECLADO,2010
24.45,SISTEMA,2010
9.44,SISTEMA,2010
48.53,ERRO,2010
27.44,IMPRESSORA,2010
47.12,SIHOSP,2010
27.32,ERRO,2010
79.55,SISTEMA,2010
18.67,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
28.36,SIHOSP,2010
54.3,SIHOSP,2010
4.59,SIHOSP,2010
13.13,SIHOSP,2010
7.12,ERRO,2010
3.33,ERRO,2010
3.33,SISTEMA,2010
6.31,IMPRESSORA,2010
11.29,IMPRESSORA,2010
13.11,SISTEMA,2010
2.67,LASER,2010
35.1,SIHOSP,2010
22.24,NAO LIGA,2009
9.24,NAO LIGA,2009
9.24,IMPRESSORA,2009
9.23,SISTEMA,2009
8.22,SIHOSP,2009
8.22,SIHOSP,2009
32.66,IMPRESSORA,2010
8.66,ERRO,2010
1.65,SISTEMA,2010
25.09,IMPRESSORA,2010
25.09,LASER,2010
34.29,LASER,2009
22.27,NAO LIGA,2009
9.26,NAO LIGA,2009
32.66,ERRO,2010
6.1,ERRO,2010
13.11,SISTEMA,2010
75.31,SIHOSP,2010
74.62,SIHOSP,2010
76.07,SIHOSP,2010
29.52,SIHOSP,2010
1.29,SISTEMA,2010
21.34,IMPRESSORA,2010
19.34,IMPRESSORA,2010
20.3,SIHOSP,2010
21.47,ERRO,2009
7.34,ERRO,2009
11.34,IMPRESSORA,2009
25.64,ERRO,2010
73.08,SISTEMA,2010
2.63,COMPUTADOR,2010
50.63,SISTEMA,2010
3.38,SISTEMA,2010
50.63,COMPUTADOR,2010
33.4,SISTEMA,2010
26.39,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
9.52,SIHOSP,2010
4.52,TECLADO,2010
4.51,SIHOSP,2010
31.18,SIHOSP,2010
4.17,SIHOSP,2010
9.58,SIHOSP,2010
1.57,SISTEMA,2010
4.57,SISTEMA,2010
57.57,SISTEMA,2010
4.55,IMPRESSORA,2010
4.54,NAO LIGA,2010
4.54,IMPRESSORA,2010
3.54,SIHOSP,2010
65.4,ERRO,2010
5.27,SIHOSP,2010
5.27,SIHOSP,2010
23.69,SIHOSP,2010
26.69,MOUSE,2010
77.17,SIHOSP,2009
4.5,IMPRESSORA,2010
1.39,SISTEMA,2010
9.38,COMPUTADOR,2010
1.68,IMPRESSORA,2010
3.68,SIHOSP,2010
8.68,NAO LIGA,2010
1.68,SIHOSP,2010
1.68,SISTEMA,2010
1.68,SIHOSP,2010
1.66,SISTEMA,2010
1.66,IMPRESSORA,2010
8.65,MOUSE,2010
8.64,SIHOSP,2010
8.63,SIHOSP,2010
8.63,MOUSE,2010
8.63,SIHOSP,2010
8.63,IMPRESSORA,2010
3.62,SISTEMA,2010
8.62,SISTEMA,2010
8.62,IMPRESSORA,2010
3.62,SISTEMA,2010
8.62,SISTEMA,2010
4.5,NAO LIGA,2010
4.48,IMPRESSORA,2010
1.62,IMPRESSORA,2010
1.61,IMPRESSORA,2010
8.61,IMPRESSORA,2010
23.57,SISTEMA,2010
92.65,SIHOSP,2010
1.5,SIHOSP,2010
29.33,SISTEMA,2010
4.47,IMPRESSORA,2010
5.46,SIHOSP,2010
4.46,NAO LIGA,2010
4.46,SIHOSP,2010
5.46,SIHOSP,2010
5.57,SISTEMA,2010
12.14,SIHOSP,2010
4.45,SIHOSP,2010
9.45,SIHOSP,2010
17.45,SIHOSP,2010
4.43,IMPRESSORA,2010
4.43,IMPRESSORA,2010
7.43,NAO LIGA,2010
4.43,NAO LIGA,2010
33.64,SISTEMA,2010
64.63,SISTEMA,2010
