"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"0","0","0","0","0","0","0","0","6.86","0"
"0","0","0","0","0","0","1.17","0","0","1.17"
"0","0","0","3.01","0","0","3.01","0","0","0"
"0","0","0","0","0","0","0","2.36","0","0"
"0","0","0","1.02","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","7.02","0"
"0","0","0","0","0","0","1.84","0","0","0"
"0","0","0","0","0","0","0","0","8.08","0"
"0","0","0","0","0","0","0","0","2.85","0"
"0","0","0","3.98","0","0","0","0","0","0"
"1.26","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.04","0","0"
"2.97","0","0","2.97","0","0","0","0","0","0"
"0","0","0","2.98","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","8.25","0"
"0","0","0","0","0","0","1.7","0","0","0"
"0","0","0","0","0","3.2","0","0","0","0"
"0","0","0","0","0","0","0","0","3.05","0"
"0","0","0","3.88","0","0","0","0","0","0"
"0","0","0","0","0","0","0","4.8","0","0"
"0","0","0","3.05","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","3.07","0"
"0","0","0","0","0","0","0","2.08","0","0"
"0","0","0","11.16","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","2.09"
"0","0","0","0","0","0","0","0","11.8","0"
"0","0","0","2.03","0","0","2.03","0","0","0"
"0","0","0","1.3","0","0","0","1.3","0","0"
"0","0","0","0","0","0","0","0","0","5.04"
"0","0","0","0","0","0","0","0","4.02","0"
"0","0","0","0","0","0","6.83","0","0","6.83"
"0","0","0","11.81","0","0","0","0","0","0"
"0","0","0","1.26","0","0","0","0","0","0"
"0","0","0","3.1","0","0","0","0","0","0"
"0","0","0","7.85","0","0","0","0","0","0"
"0","0","0","0","0","0","1.07","0","0","0"
"0","0","0","8.18","0","0","0","0","0","0"
"3.01","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.14","0","0","0"
"0","0","0","0","0","5.03","0","0","0","0"
"0","0","0","5.82","0","0","0","0","0","0"
"0","0","0","0","0","0","4.06","0","0","0"
"1.18","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","5.8","0"
"0","0","0","0","0","0","0","0","7.01","0"
"0","0","0","0","0","0","0","0","5.94","0"
"0","0","0","0","0","0","1.03","0","0","0"
"1.27","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","4.69","0","0","0"
"0","0","0","0","0","0","0","0","3.05","0"
"0","0","0","0","0","0","1.2","0","0","0"
"0","0","0","1.13","0","0","0","0","0","0"
"0","0","0","0","1.08","0","0","0","0","0"
"0","0","0","0","0","0","0","0","3.05","0"
"0","0","0","3.28","0","0","0","0","0","0"
"0","0","0","0","0","0","2.21","0","0","0"
